시설번호,시도명,시군구명,위도,경도,주소,출수압력
동부-대인-동부-130,광주광역시,동구,35.1523748628,126.9202749192,광주광역시 동구 제봉로158번길 13,3.0
동부-대인-동부-146,광주광역시,동구,35.1493833087,126.9202322937,광주광역시 동구 예술길 33,3.0
동부-대인-동부-147,광주광역시,동구,35.1469155857,126.9199944815,광주광역시 동구 문화전당로 38,3.0
동부-대인-동부-148,광주광역시,동구,35.1503001272,126.9198896555,광주광역시 동구 서석로85번길 12,3.2
동부-대인-동부-149,광주광역시,동구,35.1504488682,126.9211514609,광주광역시 동구 제봉로 140,3.0
동부-대인-동부-151,광주광역시,동구,35.1493833087,126.9202322937,광주광역시 동구 예술길 33,3.0
동부-대인-동부-180,광주광역시,동구,35.1487548322,126.9139703612,광주광역시 동구 중앙로 168,3.2
동부-대인-동부-187,광주광역시,동구,35.15225983,126.9085915951,광주광역시 동구 독립로 228,3.0
동부-대인-동부-193,광주광역시,동구,35.1477223933,126.9144514538,광주광역시 동구 중앙로160번길 11,3.0
동부-대인-동부-194,광주광역시,동구,35.1467178641,126.9172314364,광주광역시 동구 충장로안길 42,3.0
동부-대인-동부-195,광주광역시,동구,35.1473523813,126.9145746404,광주광역시 동구 중앙로160번길 14,3.0
동부-대인-동부-196,광주광역시,동구,35.1464493102,126.9158668836,광주광역시 동구 중앙로160번길 30-1,3.0
동부-대인-동부-197,광주광역시,동구,35.1482901445,126.9135397855,광주광역시 동구 중앙로 162,3.0
동부-대인-동부-198,광주광역시,동구,35.147500539,126.9160852826,광주광역시 동구 중앙로160번길 31-37,3.0
동부-대인-동부-199,광주광역시,동구,35.1469812549,126.9140140385,광주광역시 동구 중앙로160번길 16-14,3.0
동부-대인-동부-200,광주광역시,동구,35.1463028175,126.9130277608,광주광역시 동구 천변우로 393-3,3.2
동부-대인-동부-201,광주광역시,동구,35.147460363,126.9119287959,광주광역시 동구 중앙로 143,3.0
동부-대인-동부-202,광주광역시,동구,35.1488915374,126.9122923667,광주광역시 동구 구성로152번길 20,3.0
동부-대인-동부-203,광주광역시,동구,35.148500474,126.9119492,광주광역시 동구 천변우로 363-26,3.0
동부-대인-동부-204,광주광역시,동구,35.1491538611,126.9119576993,광주광역시 동구 천변우로 361-26,3.3
동부-대인-동부-205,광주광역시,동구,35.1481140124,126.91340499,광주광역시 동구 중앙로 158-1,3.8
동부-대인-동부-206,광주광역시,동구,35.1466411009,126.9132827643,광주광역시 동구 천변우로 393-17,3.0
동부-대인-동부-207,광주광역시,동구,35.1469283866,126.9129362308,광주광역시 동구 중앙로148번길 7-1,3.5
동부-대인-동부-213,광주광역시,동구,35.1502484038,126.9106310304,광주광역시 동구 구성로 149-1,3.0
동부-대인-동부-214,광주광역시,동구,35.1513443,126.9086132622,광주광역시 동구 천변우로 325,3.2
동부-대인-동부-215,광주광역시,동구,35.1513591077,126.9093599492,광주광역시 동구 천변우로 329-17,3.3
동부-대인-동부-216,광주광역시,동구,35.1498765199,126.9099242489,광주광역시 동구 구성로 141,3.0
동부-대인-동부-217,광주광역시,동구,35.1506998054,126.908936407,광주광역시 동구 천변우로 331,3.2
동부-대인-동부-259,광주광역시,동구,35.1493799573,126.9204817428,광주광역시 동구 서석로85번길 1,3.0
동부-대인-동부-262,광주광역시,동구,35.1498457673,126.9212896612,광주광역시 동구 서석로 91,3.0
동부-대인-동부-265,광주광역시,동구,35.1469155857,126.9199944815,광주광역시 동구 문화전당로 38,3.3
동부-대인-동부-266,광주광역시,동구,35.1457994284,126.9167802449,광주광역시 동구 서석로 26,3.6
동부-대인-동부-267,광주광역시,동구,35.1456319069,126.9189695781,광주광역시 동구 문화전당로 35,3.6
동부-대인-동부-268,광주광역시,동구,35.1452605166,126.9174571055,광주광역시 동구 문화전당로35번길 15,3.6
동부-대인-동부-269,광주광역시,동구,35.1454478792,126.9174123628,광주광역시 동구 문화전당로35번길 16-1,3.3
동부-대인-동부-271,광주광역시,동구,35.146567851,126.9183882396,광주광역시 동구 서석로 44,3.6
동부-대인-동부-299,광주광역시,동구,35.1585175508,126.9318079373,광주광역시 동구 필문대로137번길 5,3.3
동부-대인-동부-305,광주광역시,동구,35.1573710505,126.9310633369,광주광역시 동구 필문대로 150,3.3
동부-대인-동부-306,광주광역시,동구,35.1549767599,126.9233959904,광주광역시 동구 경양로305번길 4-32,3.0
동부-대인-동부-312,광주광역시,동구,35.1597066305,126.9314994062,광주광역시 동구 필문대로123번길 4-1,3.3
동부-대인-동부-325,광주광역시,동구,35.15460948,126.9270876,광주광역시 동구 산수길3번길 13,3.5
동부-대인-동부-329,광주광역시,동구,35.1465302114,126.916067623,광주광역시 동구 중앙로160번길 31,3.2
동부-대인-동부-331,광주광역시,동구,35.1609209852,126.9299983186,광주광역시 동구 필문대로 106,3.3
동부-대인-동부-332,광주광역시,동구,35.15214539,126.9323063099,광주광역시 동구 필문대로205번길 11-1,3.3
동부-대인-동부-335,광주광역시,동구,35.1498765199,126.9099242489,광주광역시 동구 구성로 141,3.3
동부-대인-동부-349,광주광역시,동구,35.15415192,126.9327808622,광주광역시 동구 필문대로187번길 1-1,3.0
동부-대인-동부-362,광주광역시,동구,35.15939713,126.9293009728,광주광역시 동구 무등로433번길 23-1,3.0
동부-대인-동부-363,광주광역시,동구,35.15579987,126.9296394003,광주광역시 동구 경양로371번길 20,3.0
동부-대인-동부-431,광주광역시,동구,35.1543808,126.9228678437,광주광역시 동구 동계로15번길 20-4,3.0
동부-대인-동부-432,광주광역시,동구,35.153636258,126.9252739499,광주광역시 동구 동명로67번길 38,3.0
동부-대인-동부-433,광주광역시,동구,35.15034866,126.9212881427,광주광역시 동구 제봉로138번길 1,3.0
동부-대인-동부-437,광주광역시,동구,35.15606308,126.926924282,광주광역시 동구 산수길25번길 5,3.0
동부-대인-동부-438,광주광역시,동구,35.15530777,126.9324609773,광주광역시 동구 무등로 483-3,3.0
