시설번호,시도명,시군구명,위도,경도,주소,상세위치,출수압력
동부-대인-대인-585,광주광역시,동구,35.1591101528,126.9196531,광주광역시 동구 중흥로 241,현대택배 앞,3.3
동부-대인-대인-609,광주광역시,동구,35.1534474927,126.9190679568,광주광역시 동구 동계천로 67,동문마트 앞,3.3
동부-대인-대인-614,광주광역시,동구,35.15743511,126.9132911,광주광역시 동구 경양로 234,그랜드센트럴 115동 및 대인광장-동 버스정류장 사이,3.3
동부-대인-대인-618,광주광역시,동구,35.1611564671,126.9280777765,광주광역시 동구 참판로20번길 1,영천교회 좌측 인도보건메디컬| 풍향어린이공원 건너편,3.2
동부-대인-대인-619,광주광역시,동구,35.16161511,126.9237381,광주광역시 동구 무등로375번길 11,푸른길부동산 앞,3.0
동부-대인-대인-622,광주광역시,동구,35.16006311,126.9255711,광주광역시 동구 무등로 392-1,Y식자재마트 앞,3.0
동부-대인-대인-623,광주광역시,동구,35.15662811,126.9200031,광주광역시 동구 경양로 277,시드니모텔 앞,3.0
동부-대인-대인-624,광주광역시,동구,35.1582853564,126.9265841,광주광역시 동구 산수길35번길 22,우리빌 앞,3.0
동부-대인-대인-625,광주광역시,동구,35.15575911,126.9197762259,광주광역시 동구 경양로271번길4,,3.0
동부-대인-대인-1,광주광역시,동구,35.1539188676,126.9148072499,광주광역시 동구 제봉로 207,상일빌딩 앞,3.3
동부-대인-대인-2,광주광역시,동구,35.1550349938,126.9138750722,광주광역시 동구 제봉로222번길 2,일호사 앞,3.0
동부-대인-대인-5,광주광역시,동구,35.15592311,126.9134917939,광주광역시 동구 동계천로6번길 8,하루모텔 별관 앞,3.2
동부-대인-대인-6,광주광역시,동구,35.1532518491,126.9140831,광주광역시 동구 구성로 195-1,승전사 앞,3.2
동부-대인-대인-9,광주광역시,동구,35.1547084567,126.9136671,광주광역시 동구 제봉로 221,메가커피 앞,3.1
동부-대인-대인-10,광주광역시,동구,35.15394511,126.9126041,광주광역시 동구 독립로 264번길 15,한국금거래소 앞,3.1
동부-대인-대인-11,광주광역시,동구,35.1556975974,126.9147831,광주광역시 동구 동계천로 22,노벨병원 앞,3.5
동부-대인-대인-12,광주광역시,동구,35.1513421158,126.9165736577,광주광역시 동구 중앙로 203,금남새마을금고 앞,3.0
동부-대인-대인-14,광주광역시,동구,35.1526625941,126.9159002168,광주광역시 동구 구성로204번길 15-1,오시오편의점 앞,3.5
동부-대인-대인-15,광주광역시,동구,35.1526966949,126.9180478295,광주광역시 동구 중앙로 223,한화생명 화단 앞,3.0
동부-대인-대인-16,광주광역시,동구,35.1521963901,126.9175757615,광주광역시 동구 제봉로 173,광주보청기난청센터 앞,3.0
동부-대인-대인-18,광주광역시,동구,35.1535479963,126.9161545809,광주광역시 동구 제봉로 196,대인치과의원 앞,3.2
동부-대인-대인-286,광주광역시,동구,35.15353511,126.9169541,광주광역시 동구 제봉로190번길 1-2,LA갈비유통 앞,3.2
동부-대인-대인-330,광주광역시,동구,35.1544942942,126.9148511,광주광역시 동구 제봉로 210,동부소방서 입구 앞,3.3
동부-대인-대인-475,광주광역시,동구,35.15421611,126.9179915928,광주광역시 동구 동계천로53번길 2,별별상상정원 앞,3.3
동부-대인-대인-550,광주광역시,동구,35.1541687018,126.9168504139,광주광역시 동구 제봉로194번길 9,대인시장 공영주차장 앞,3.2
동부-대인-대인-551,광주광역시,동구,35.1538447359,126.9172203781,광주광역시 동구 제봉로190번길 5,순창상회(대인시장) 맞은편,3.2
동부-대인-대인-571,광주광역시,동구,35.15204811,126.9154168461,광주광역시 동구 구성로194번길 15-2,백림제화 앞,3.5
동부-대인-대인-572,광주광역시,동구,35.15492611,126.9159840995,광주광역시 동구 구성로 221-1,세븐일레븐 앞,3.5
동부-대인-대인-573,광주광역시,동구,35.15301211,126.9183417005,광주광역시 동구 제봉로178번길 10,대인시장관리소 공중화장실 앞,3.2
동부-대인-대인-581,광주광역시,동구,35.1553175105,126.9122842635,광주광역시 동구 독립로 276,삼호회관 E안경 앞,3.2
동부-대인-대인-586,광주광역시,동구,35.1546431128,126.9155831961,광주광역시 동구 구성로 217,이마트24| 다미정 앞,3.2
동부-대인-대인-610,광주광역시,동구,35.1534200398,126.9183194997,광주광역시 동구 제봉로 178번길 11,대인시장 만선홍어 앞,3.2
동부-대인-저수조1,광주광역시,동구,35.1539188676,126.9148072499,광주광역시 동구 제봉로 207,동부소방서 사거리 횡단보도,3.2
동부-대인-저수조2,광주광역시,동구,35.15294911,126.9141021933,광주광역시 동구 구성로 194,금영코리아 앞,3.2
동부-대인-저수조3,광주광역시,동구,35.1527108579,126.9167426984,광주광역시 동구 제봉로 185,김승완 외과 앞,3.2
동부-대인-저수조4,광주광역시,동구,35.15219711,126.9175757615,광주광역시 동구 제봉로 173,한미쇼핑사거리 중앙초교 앞쪽,3.2
동부-대인-대인-8,광주광역시,동구,35.1459059333,126.9162047784,광주광역시 동구 서석로23,J엘리샤 앞,3.3
동부-대인-대인-18,광주광역시,동구,35.1476596038,126.9185580159,광주광역시 동구 금남로 250-2,미니스톱 문화전당점 앞,
동부-대인-대인-21,광주광역시,동구,35.1493382698,126.9145461,광주광역시 동구 충장로 64,충장파출소 앞 사거리 횡단보도,
